formula,cluster_id,n_members,n_with_e_form,n_with_e_hull,mean_e_form,median_e_form,min_e_form,max_e_form,mean_e_hull,median_e_hull,min_e_hull,max_e_hull,delta_mean_e_form_to_min,delta_mean_e_hull_to_min
KAlF4,0,5,5,5,-3.648254212874994,-3.648254212874994,-3.648254212874994,-3.648254212874994,0.0,0.0,0.0,0.0,0.0,0.0
KAlF4,1,1,1,1,-3.648254212874994,-3.648254212874994,-3.648254212874994,-3.648254212874994,0.0,0.0,0.0,0.0,0.0,0.0
LaNiO3,0,3,3,3,-2.472384724499998,-2.472384724499998,-2.472384724499998,-2.472384724499998,0.0,0.0,0.0,0.0,0.0,0.0
LaNiO3,1,1,1,1,-2.472384724499998,-2.472384724499998,-2.472384724499998,-2.472384724499998,0.0,0.0,0.0,0.0,0.0,0.0
Li3ThF7,0,2,2,2,-3.555880871931816,-3.555880871931816,-3.555880871931816,-3.555880871931816,0.209163741590908,0.209163741590908,0.209163741590908,0.209163741590908,0.0,0.0
Li3ThF7,1,2,2,2,-3.555880871931816,-3.555880871931816,-3.555880871931816,-3.555880871931816,0.209163741590908,0.209163741590908,0.209163741590908,0.209163741590908,0.0,0.0
Li3ThF7,2,2,2,2,-3.555880871931816,-3.555880871931816,-3.555880871931816,-3.555880871931816,0.209163741590908,0.209163741590908,0.209163741590908,0.209163741590908,0.0,0.0
LiMnFeF6,0,2,2,2,-2.881047644584929,-2.881047644584929,-2.881047644584929,-2.881047644584929,0.0,0.0,0.0,0.0,0.0,0.0
LiMnFeF6,1,1,1,1,-2.881047644584929,-2.881047644584929,-2.881047644584929,-2.881047644584929,0.0,0.0,0.0,0.0,0.0,0.0
LiNbWO6,0,2,2,2,-2.5708851625925933,-2.5708851625925933,-2.5708851625925933,-2.5708851625925933,0.013673802361116,0.013673802361116,0.013673802361116,0.013673802361116,0.0,0.0
LiNbWO6,1,1,1,1,-2.5708851625925933,-2.5708851625925933,-2.5708851625925933,-2.5708851625925933,0.013673802361116,0.013673802361116,0.013673802361116,0.013673802361116,0.0,0.0
MnCrF5,0,2,2,2,-2.99918572899015,-2.99918572899015,-2.99918572899015,-2.99918572899015,0.009525761071427,0.009525761071427,0.009525761071427,0.009525761071427,0.0,0.0
MnCrF5,1,1,1,1,-2.99918572899015,-2.99918572899015,-2.99918572899015,-2.99918572899015,0.009525761071427,0.009525761071427,0.009525761071427,0.009525761071427,0.0,0.0
Na2FeNiF7,0,2,2,2,-2.708318773887147,-2.708318773887147,-2.708318773887147,-2.708318773887147,0.0,0.0,0.0,0.0,0.0,0.0
Na2FeNiF7,1,1,1,1,-2.708318773887147,-2.708318773887147,-2.708318773887147,-2.708318773887147,0.0,0.0,0.0,0.0,0.0,0.0
NbFeF6,0,2,2,2,-2.9860387975,-2.9860387975,-2.9860387975,-2.9860387975,0.020374104291666,0.020374104291666,0.020374104291666,0.020374104291666,0.0,0.0
NbFeF6,1,2,2,2,-2.9860387975,-2.9860387975,-2.9860387975,-2.9860387975,0.020374104291666,0.020374104291666,0.020374104291666,0.020374104291666,0.0,0.0
NdNiO3,0,2,2,2,-2.425266711,-2.425266711,-2.425266711,-2.425266711,0.0,0.0,0.0,0.0,0.0,0.0
NdNiO3,1,1,1,1,-2.425266711,-2.425266711,-2.425266711,-2.425266711,0.0,0.0,0.0,0.0,0.0,0.0
NdNiO3,2,1,1,1,-2.425266711,-2.425266711,-2.425266711,-2.425266711,0.0,0.0,0.0,0.0,0.0,0.0
NdNiO3,3,1,1,1,-2.425266711,-2.425266711,-2.425266711,-2.425266711,0.0,0.0,0.0,0.0,0.0,0.0
PrNiO3,0,2,2,2,-2.406667594333332,-2.406667594333332,-2.406667594333332,-2.406667594333332,0.0,0.0,0.0,0.0,0.0,0.0
PrNiO3,1,2,2,2,-2.406667594333332,-2.406667594333332,-2.406667594333332,-2.406667594333332,0.0,0.0,0.0,0.0,0.0,0.0
PrNiO3,2,7,7,7,-2.406667594333332,-2.406667594333332,-2.406667594333332,-2.406667594333332,0.0,0.0,0.0,0.0,0.0,0.0
RbAlF4,0,4,4,4,-3.637255926416667,-3.637255926416667,-3.637255926416667,-3.637255926416667,0.0,0.0,0.0,0.0,0.0,0.0
RbAlF4,1,1,1,1,-3.637255926416667,-3.637255926416667,-3.637255926416667,-3.637255926416667,0.0,0.0,0.0,0.0,0.0,0.0
RbAlF4,2,2,2,2,-3.637255926416667,-3.637255926416667,-3.637255926416667,-3.637255926416667,0.0,0.0,0.0,0.0,0.0,0.0
