cod_id,path,formula,n_sites,n_species,volume,density,a,b,c,alpha,beta,gamma,mp_id,mp_e_form_per_atom,mp_e_above_hull,oqmd_best_id,oqmd_delta_e,oqmd_stability
1000308,data/raw/cif/1/00/03/1000308.cif,LaNiO3,30,3,337.441872980382,7.251444991315403,5.4535,5.4535,13.1014,90.0,90.0,120.0,mp-2764171,-2.472384724499998,0.0,,,
1000380,data/raw/cif/1/00/03/1000380.cif,Ca7.52Tl8.48O20,36,3,503.5890084971001,7.763898343826875,3.3431,11.159,13.499,90.0,90.0,90.0,,,,,,
1000309,data/raw/cif/1/00/03/1000309.cif,LaNiO3,30,3,337.57788247979937,7.248523397649147,5.4536,5.4536,13.1062,90.0,90.0,120.0,mp-2764171,-2.472384724499998,0.0,,,
1000381,data/raw/cif/1/00/03/1000381.cif,Nb16Tl16O48.56,104,4,1219.179044360789,7.536794657725574,10.6829,10.6829,10.6829,90.0,90.0,90.0,,,,,,
1000310,data/raw/cif/1/00/03/1000310.cif,LaNiO3,30,3,339.067780936988,7.216672645574712,5.4573,5.4573,13.1462,90.0,90.0,120.0,mp-2764171,-2.472384724499998,0.0,,,
1000382,data/raw/cif/1/00/03/1000382.cif,Nb16Tl16O50.168,104,4,1205.161579266632,7.659904708415922,10.6418,10.6418,10.6418,90.0,90.0,90.0,,,,,,
1000311,data/raw/cif/1/00/03/1000311.cif,PrNiO3,20,3,222.25325595528,7.399634732784623,5.4155,5.3884,7.6164,90.0,90.0,90.0,mp-22280,-2.406667594333332,0.0,,,
1000383,data/raw/cif/1/00/03/1000383.cif,Nb16Tl16O51.44,104,4,1204.5161814391993,7.69206509800746,10.6399,10.6399,10.6399,90.0,90.0,90.0,,,,,,
1000312,data/raw/cif/1/00/03/1000312.cif,PrNiO3,20,3,222.115654169148,7.4042188444257615,5.4133,5.3828,7.6227,90.0,90.0,90.0,mp-22280,-2.406667594333332,0.0,,,
1000384,data/raw/cif/1/00/03/1000384.cif,Nb16Tl16O51.92,104,4,1204.4482582327728,7.703086685235317,10.6397,10.6397,10.6397,90.0,90.0,90.0,,,,,,
1000313,data/raw/cif/1/00/03/1000313.cif,PrNiO3,20,3,221.587470333435,7.421867805821558,5.4115,5.3763,7.6163,90.0,90.0,90.0,mp-22280,-2.406667594333332,0.0,,,
1000385,data/raw/cif/1/00/03/1000385.cif,Nb16Tl16O52.704,88,4,1203.5315448530002,7.726260605114802,10.637,10.637,10.637,90.0,90.0,90.0,,,,,,
1000314,data/raw/cif/1/00/03/1000314.cif,PrNiO3,20,3,222.35526975495893,7.39623987348509,5.4193,5.3801,7.6263,90.0,90.0,90.0,mp-22280,-2.406667594333332,0.0,,,
1000386,data/raw/cif/1/00/03/1000386.cif,Nb16Tl16O53.184,88,4,1201.5977888062969,7.749307555796288,10.6313,10.6313,10.6313,90.0,90.0,90.0,,,,,,
1000315,data/raw/cif/1/00/03/1000315.cif,NdNiO3,20,3,220.516434218624,7.55834907237135,5.3824,5.3861,7.6066,90.0,90.0,90.0,mp-22106,-2.425266711,0.0,,,
1000387,data/raw/cif/1/00/03/1000387.cif,Nb2Tl2O7,88,4,1198.447161848,7.832106049626307,10.622,10.622,10.622,90.0,90.0,90.0,mp-33658,-2.302056036969698,0.028540367678566003,,,
1000316,data/raw/cif/1/00/03/1000316.cif,NdNiO3,20,3,220.60858550850404,7.555191844311629,5.3836,5.3863,7.6078,90.0,90.0,90.0,mp-22106,-2.425266711,0.0,,,
1000388,data/raw/cif/1/00/03/1000388.cif,Ca11.2Tl8.8O24,44,3,619.0465518850078,7.058590389414449,11.248,16.51299,3.3329,90.0,90.0,90.0,,,,,,
1000317,data/raw/cif/1/00/03/1000317.cif,NdNiO3,20,3,220.456285444654,7.560411274540016,5.3879,5.3797,7.6058,90.0,90.0,90.0,mp-22106,-2.425266711,0.0,,,
1000389,data/raw/cif/1/00/03/1000389.cif,Ba2Zn2ClF7,24,4,382.14204799867065,4.987707211386113,7.7,5.801,8.939,90.0,106.84999999999998,90.0,mp-555271,-3.256032589583333,0.003047569791666,,,
1000318,data/raw/cif/1/00/03/1000318.cif,NdNiO3,20,3,220.707972259656,7.551789674629908,5.3891,5.3816,7.6101,90.0,90.0,90.0,mp-22106,-2.425266711,0.0,,,
1000390,data/raw/cif/1/00/03/1000390.cif,Ba2Co2ClF7,24,4,380.7554909715387,4.892902095784238,7.692,5.783,8.945,90.0,106.88,90.0,mp-556007,-3.097569244999999,0.014363590416665002,,,
1000319,data/raw/cif/1/00/03/1000319.cif,Ba3Ta2(OF6)2,38,4,637.600554010855,5.385061008484922,5.5063,5.5063,21.0295,90.0,90.0,90.0,,,,,,
1000391,data/raw/cif/1/00/03/1000391.cif,Ba2MnNiClF7,24,5,388.3984829686746,4.76040674095698,7.766,5.844,8.932,90.0,106.64,90.0,mp-554990,-3.26425919691092,0.069741604791658,,,
1000320,data/raw/cif/1/00/03/1000320.cif,Ba2CeC3O9F,32,5,433.6804972023552,4.700376225125983,13.365,5.097,6.638,90.0,106.45,90.0,mp-6850,-2.818670645624999,0.0,,,
1000392,data/raw/cif/1/00/03/1000392.cif,Ca4Tl2CO9,50,4,415.9967795755738,5.7886512747685686,4.77944,4.77944,18.21109,90.0,90.0,90.0,mp-1227293,-2.411610125416667,0.020161424999998002,,,
1000321,data/raw/cif/1/00/03/1000321.cif,BaCuCO3F2,48,5,400.271875548,4.95962668539728,4.889,8.539,9.588,90.0,90.0,90.0,mp-556030,-2.449935235624999,0.009935448124993002,,,
1000393,data/raw/cif/1/00/03/1000393.cif,Ba3TaOF9,64,4,934.6352407753018,5.542600832736468,5.9422,26.39499,5.959,90.0,90.0,90.0,mp-1228505,-3.722990939809524,0.24246322010714302,,,
1000322,data/raw/cif/1/00/03/1000322.cif,Ga4P3H2(O8F)2,216,5,3421.96184655,2.592513246990521,13.455,13.455,18.902,90.0,90.0,90.0,,,,,,
1000394,data/raw/cif/1/00/03/1000394.cif,BaCuCO3F2,32,5,399.4504356372,4.969825786308397,4.8866,8.531,9.582,90.0,90.0,90.0,mp-556030,-2.449935235624999,0.009935448124993002,,,
1000323,data/raw/cif/1/00/03/1000323.cif,Ba10FeCu12F47,166,4,1995.913275961128,5.13257315035275,15.447,11.638,11.809,90.0,109.92,90.0,,,,,,
1000395,data/raw/cif/1/00/03/1000395.cif,KGdCO3F2,128,5,1712.77400704914,4.566032185996892,7.006,11.181,21.86499,90.0,90.0,90.0,mp-554005,-3.112064615906249,0.0,,,
1000324,data/raw/cif/1/00/03/1000324.cif,Ba4Nb2(OF4)3,252,4,4053.620449608964,4.970284925365319,22.672,13.075,14.996,90.0,114.234,90.0,mp-558153,-3.799329723650793,0.0,,,
1000396,data/raw/cif/1/00/03/1000396.cif,Zr(WO4)2,44,3,767.216826439336,5.081061924258784,9.1546,9.1546,9.1546,90.0,90.0,90.0,mp-556713,-2.573634890757575,0.059795847196966005,,,
